"today","district","treat","MCC_ID","consent","mcc.q4","mcc.q5","mcc.q6","mcc.assets.q14a","mcc.assets.q14b","mcc.assets.q14c","mcc.assets.q14d","mcc.assets.q14e","mcc.assets.q14f","mcc.assets.q14g","mcc.assets.q14h","mcc.assets.q14i","mcc.assets.q14j","mcc.assets.q14k","mcc.assets.q14l","mcc.assets.q14m","mcc.assets.q14n","mcc.q15","mcc.q16a","mcc.q16b","mcc.q16c","mcc.q16cc","mcc.q16d","mcc.poster","mcc.machine","mcc.machine_project","mcc.machine_in_use","mcc.record_keeping.1","mcc.record_keeping.2","mcc.record_keeping.3","mcc.record_keeping.4","mcc.record_keeping.96","mcc.services.q17","mcc.services.q18","mcc.services.q19","mcc.services.q20","mcc.services.q21","mcc.services.q22","mcc.Q23","mcc.q28","mcc.Q24","mcc.q27","mcc.q25a","mcc.q25b","mcc.q25c","mcc.q25x1","mcc.q25x2","mcc.q25x3","mcc.q29","mcc.q30.1","mcc.q30.2","mcc.q30.3","mcc.q30.4","mcc.q30.5","mcc.q30.7","mcc.q30.8","mcc.q31","mcc.repeat_buyer","mcc.normal_buyer.1","mcc.normal_buyer.2","mcc.normal_buyer.3","mcc.normal_buyer.4","mcc.normal_buyer.5","mcc.normal_buyer.6","mcc.same_buyer","mcc.reason_buyer","mcc.q32.1","mcc.q32.2","mcc.q32.3","mcc.q32.4","mcc.q32.5","mcc.q32.6","mcc.q33.1","mcc.q33.2","mcc.q33.3","mcc.q33.4","mcc.q33.5","mcc.q33.6","mcc.q35","mcc.q36","mcc.q37","mcc.q38.1","mcc.q38.2","mcc.q38.3","mcc.q38.4","mcc.q38.96","mcc.q39a","mcc.q39b","mcc.q39c","mcc.q39d","mcc.q40","mcc.q44","mcc.q46","mcc.q47","mcc.q48","mcc.q49","mcc.q50","mcc.q51.1","mcc.q51.2","mcc.q51.3","mcc.q51.4","mcc.q51.96","mcc.q52a","mcc.q52b","mcc.q52c","mcc.q52d","mcc.q53","mcc.q54","mcc.q56","mcc.q57","mcc.q58","mcc.q59","mcc.q60","mcc.q61.1","mcc.q61.2","mcc.q61.3","mcc.q61.4","mcc.q61.96","mcc.q62a","mcc.q62b","mcc.q62c","mcc.q62d","mcc.q63","mcc.q64","mcc.q66","mcc.q67","mcc.q68","mcc.q69","mcc.q70","mcc.q71.1","mcc.q71.2","mcc.q71.3","mcc.q71.4","mcc.q71.96","mcc.q72a","mcc.q72b","mcc.q72c","mcc.q72d","mcc.q73","mcc.q74","mcc.q76","mcc.q77","mcc.q78","mcc.q79","mcc.q80","mcc.q81.1","mcc.q81.2","mcc.q81.3","mcc.q81.4","mcc.q81.96","mcc.q82a","mcc.q82b","mcc.q82c","mcc.q82d","mcc.q83","mcc.q84","mcc.q86","mcc.q87","mcc.q31d","mcc.share","mcc.distribution","mcc.award","mcc.differentiate"
"2024-10-29","Kazo","T","MCC_92",1,"Male",2,"Chairman",0,3,0,0,0,2,2,1,10,5,2,1,4,0,3,2,"n/a","n/a","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,1,1,2,3,100,"n/a",60,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"False","False","False","False","False","False","True",1,1,"False","True","False","True","False","False","n/a","2","False","False","True","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","999","999","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","n/a",1
"2024-10-29","Kazo","n/a","n/a",1,"Male",3,"Manager",2,5,0,0,0,2,2,3,10,3,2,1,3,1,3,1,"1","1","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,2,2,2,1,1,250,"n/a",200,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"False","False","False","False","False","False","True",5,1,"True","False","False","False","False","False","n/a","1","True","False","False","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","2000","1500","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","2","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","n/a",1
"2024-10-29","Kazo","T","MCC_29",1,"Male",3,"Manager",2,2,3,0,1,2,2,5,15,5,0,1,20,20,1,1,"1","2","2","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,2,2,1,3,1,25,"n/a",25,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"False","False","False","True","True","False","False",2,1,"False","True","False","False","False","False","n/a","2","False","True","False","False","False","False","True","True","False","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2500","600","1","True","True","False","False","False","1","6.5","2","6","1","1","1","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","50","1","n/a",2
"2024-10-31","Kiruhura","n/a","n/a",1,"Male",1,"Manager",2,2,3,0,2,0,2,5,5,2,1,1,2,4,3,1,"1","1","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,1,2,1,1,2000,"600",2000,"600","30","1500","600","1","1","1",1,"True","True","True","True","True","True","True",5,2,"False","True","False","False","True","False","1","n/a","False","True","False","False","True","False","False","False","False","False","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","25","600","1","True","True","False","False","False","2","6","2","4.5","1","1","20","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","20","600","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","2","n/a","2","1","20","1","2",2
"2024-10-31","Ntungamo","n/a","n/a",1,"Male",2,"Manager",3,2,0,0,1,2,2,3,15,5,1,1,2,2,3,1,"1","1","3","n/a","1","1","1","5","False","False","True","True","False",2,2,2,1,1,1,60,"500",25,"600","60","600","600","1","1","1",1,"False","False","False","True","True","False","False",5,1,"False","True","False","False","False","False","1","n/a","True","True","True","True","True","True","True","True","True","True","True","True","250","600","1","True","True","True","True","True","2","6.8","3","4","2","1","20","1","200","600","1","True","True","True","True","True","3","6.8","2","4","2","1","20","1","500","600","1","True","True","True","True","True","1","6","3","3.5","2","1","20","1","600","1000","1","True","True","True","True","True","1","6","2","3","1","1","20","1","600","900","1","True","True","True","True","True","1","6","96","2.5","1","1","20","1","1","20","1","1",1
"2024-10-31","Ntungamo","n/a","n/a",1,"Male",5,"Manager",1,5,0,1,0,1,2,3,20,6,1,1,3,2,2,1,"1","1","1","n/a","1","1","1","1","False","True","False","True","False",2,3,3,2,1,1,30,"4000",25,"2100","30","900","4000","1","1","2",1,"False","False","False","True","True","True","False",2,1,"True","True","False","False","False","False","1","n/a","False","True","False","False","False","False","True","False","True","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4000","1050","1","True","True","True","False","False","2","8.6","2","3.8","2","1","30","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1","15","2","1",2
"2024-10-30","Mbarara","C","MCC_75",1,"Male",6,"Chairman",1,1,0,1,0,1,1,1,8,2,1,1,2,4,1,1,"1","1","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,3,3,3,1,2,24,"50",16,"40","28","800","120","2","2","3",2,"False","False","False","False","False","True","False",2,2,"False","False","False","False","True","False","2","n/a","False","False","False","False","True","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","30","800","1","False","False","True","False","False","n/a","n/a","n/a","n/a","3","2","n/a","1","n/a","n/a","3","n/a",2
"2024-11-01","Kazo","C","MCC_701",1,"Male",3,"Manager",1,0,0,0,0,1,1,1,30,3,2,1,2,0,1,1,"1","1","1","n/a","1","2","n/a","n/a","False","False","True","False","False",3,3,3,3,3,3,50,"1500",30,"2000","50","1000","2000","1","3","1",1,"True","True","False","False","False","False","False",2,1,"False","False","True","False","False","False","1","n/a","False","False","True","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2000","1300","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3","2","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1",2
"2024-11-01","Kiruhura","T","MCC_548",1,"Female",6,"Manager",1,2,0,0,0,1,2,1,5,2,1,0,4,2,1,1,"1","2","2","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,3,2,3,1,1,20,"n/a",15,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"True","False","False","False","False","False","False",3,2,"True","True","False","False","False","False","n/a","1","False","True","False","False","False","False","False","False","False","True","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","8000","1000","1","True","False","False","False","False","1","999","n/a","n/a","3","2","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a",1
"2024-11-01","Kazo","n/a","n/a",1,"Female",4,"Manager",2,2,0,1,1,2,3,1,20,2,1,0,5,2,1,1,"1","1","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,3,3,2,2,2,30,"n/a",25,"n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"False","False","False","False","False","False","True",4,1,"False","True","False","False","False","False","n/a","3","False","True","False","False","False","False","True","False","False","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","250","1100","1","True","False","False","False","False","1","7","n/a","n/a","2","1","20","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2","n/a","2","n/a",2
