"start","end","today","district","treat","MCC_ID","catch_ID","Fat","SNF","Added.Water","Temp","Protein","Corrected.Lactometer.Reading","lacto_test","Analogue.Lactometer.Test","al_test_done","Alcohol.Test","Qty","Rejected","Price"
"2022-11-30T11:59:31.475+03:00","2024-11-07T18:08:09.529+01:00","2024-11-07","Kazo","T","MCC_92",46,3.9,6.9,0,23,3.1,23,1,"23",1,"1",30,2,"600"
"2022-12-01T13:57:19.309+03:00","2024-11-07T18:08:52.817+01:00","2024-11-07","Kiruhura","T","MCC_349",35,3.6,9.1,2,23,3,23,2,"n/a",2,"n/a",30,2,"900"
"2022-12-01T16:18:45.556+03:00","2024-11-07T18:09:52.402+01:00","2024-11-07","Kiruhura","T","MCC_282",50,3.8,8.1,2,23,3.5,31,1,"36",1,"1",120,2,"1100"
"2022-12-02T09:35:33.300+03:00","2024-11-07T18:10:43.114+01:00","2024-11-07","Kiruhura","C","MCC_349",35,3.8,6.1,1,25,3.9,23,1,"35",1,"2",60,2,"1200"
"2022-12-02T10:35:49.378+03:00","2024-11-07T18:11:51.569+01:00","2024-11-07","Mbarara","C","MCC_8",113,3.8,6,12,35,2.1,20,1,"25",1,"2",30,1,"n/a"
"2022-12-02T11:39:26.395+03:00","2024-11-07T18:12:46.212+01:00","2024-11-07","Kiruhura","T","MCC_151",16,4.1,6.9,0,25,3.9,36,1,"23",1,"1",25,2,"1200"
"2022-12-02T12:12:46.908+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:08:09.525+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T14:46:38.568+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:25:31.149+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-11-30T11:59:30.042+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T16:26:15.936+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T09:36:19.613+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T12:05:12.784+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T15:29:47.330+03:00",NA,NA,NA,"C","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T13:57:04.654+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-01T15:03:45.444+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T10:53:02.041+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T11:59:38.758+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
"2022-12-02T13:13:27.180+03:00",NA,NA,NA,"T","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,""
