"farmer_ID","trader_ID","MCC_ID","today","district","farmer.tot_prod","farmer.tot_sold","farmer.tot_sold_trader","farmer.trader_link","farmer.rejected_week","farmer.rejected_month","farmer.bett_prc","farmer.used_bran","farmer.used_residu","farmer.used_lick","farmer.used_cgrazing","treat","q_sold_1","q_sold_2","q_sold_3","q_sold_4","q_sold_5","q_sold_6","checked_1","checked_2","checked_3","checked_4","checked_5","checked_6","checked_how_1","checked_how_2","checked_how_3","checked_how_4","checked_how_5","checked_how_6","p_sold_1","p_sold_2","p_sold_3","p_sold_4","p_sold_5","p_sold_6"
"F_294","T_001","MCC_016","2025-12-05","Kazo",75,55,55,4,0,0,2,1,2,1,1,0,55,55,55,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,950,950,NA,NA,NA
"F_040","T_001","MCC_016","2025-12-05","Kazo",122,111,111,5,0,0,2,2,2,1,1,0,113,111,112,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_159","T_001","MCC_016","2025-12-05","Kazo",450,400,200,4,0,0,2,2,2,1,1,0,200,200,200,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_360","T_001","MCC_016","2025-12-05","Kazo",85,70,40,4,0,0,2,2,2,1,1,0,38,40,33,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,950,950,NA,NA,NA
"F_151","T_002","MCC_003","2025-12-05","Kazo",36,29,29,6,0,0,2,2,2,2,2,0,29,19,29,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,1050,1050,NA,NA,NA
"F_236","T_002","MCC_003","2025-12-05","Kazo",50,47,47,5,0,0,2,2,2,2,2,0,44,47,43,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_247","T_002","MCC_003","2025-12-05","Kazo",70,50,50,6,0,0,2,2,2,2,2,0,50,50,50,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,1050,1050,NA,NA,NA
"F_144","T_002","MCC_003","2025-12-05","Kazo",46,39,39,6,0,0,2,2,2,2,2,0,39,31,39,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,1050,1050,1050,NA,NA,NA
"F_324","T_002","MCC_003","2025-12-05","Kazo",70,52,52,6,0,0,2,2,2,2,2,0,51,55,52,NA,NA,NA,2,1,1,NA,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_207","T_003","MCC_014","2025-12-04","Kiruhura",30,20,20,4,0,0,2,2,2,2,1,1,25,20,20,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_351","T_003","MCC_014","2025-12-04","Kiruhura",48,43,43,5,0,0,1,2,2,2,2,1,43,42,42,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,800,NA,NA,NA
